run,loss,slide,status,items_seen,latest_epoch,recall_source,epoch0_machado,epoch0_quijote_ch1,epoch0_quijote_ch4,epoch0_recall_mean,machado,quijote_ch1,quijote_ch4,recall_mean,standard_source,epoch0_standard_macro,standard_macro,standard_delta,standard_worst_delta
a_lossgrid_1p7b_combined_slide2_cosine,cosine,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.22175343825572397,0.15798890666122445,0.13708803456470486,0.1722767931605511,full checkpoint eval,0.5625,0.5266666666666667,0.003333333333333355,-0.039999999999999925
a_lossgrid_1p7b_combined_slide2_delta_vocab_cos,delta_vocab_cos,2,complete,12312,24,full checkpoint eval,0.10647927740088757,0.15719073278002751,0.20479415074390217,0.1561547203082724,0.20818841388007892,0.17398639389549558,0.13247724939298888,0.17155068572285445,full checkpoint eval,0.5625,0.49666666666666665,-0.026666666666666672,-0.08999999999999997
a_lossgrid_1p7b_combined_slide2_mahalanobis,mahalanobis,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.19530227003841516,0.16169051807592266,0.14525082581530832,0.1674145379765487,full checkpoint eval,0.5625,0.5166666666666667,-0.006666666666666636,-0.019999999999999907
a_lossgrid_1p7b_combined_slide2_relational_state,relational_state,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.20575660376027272,0.16425164790035404,0.13203567630575871,0.16734797598879517,full checkpoint eval,0.5625,0.5166666666666667,-0.006666666666666654,-0.039999999999999925
a_lossgrid_1p7b_combined_slide2_vocabfisher,vocab_fisher,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.14215916268069487,0.18725567099422044,0.16218515516038454,0.16386666294509997,full checkpoint eval,0.5625,0.5166666666666667,-0.006666666666666654,-0.06
a_lossgrid_1p7b_combined_slide2_l2mse,l2mse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.1530352858500597,0.16812845562460543,0.14249892020784244,0.15455422056083587,full checkpoint eval,0.5625,0.5433333333333333,0.02,0.0
a_lossgrid_1p7b_combined_slide1_huber,huber,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.1660244135403508,0.15958355943552988,0.1327581263477461,0.15278869977454226,full checkpoint eval,0.5625,0.49,-0.033333333333333326,-0.040000000000000036
a_lossgrid_1p7b_combined_slide2_flow,flow_nmse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.16223630183512625,0.14228483976514517,0.15160862629996993,0.15204325596674712,full checkpoint eval,0.5625,0.48,-0.043333333333333335,-0.07999999999999996
a_lossgrid_1p7b_combined_slide1_nmse,nmse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.15560727332191848,0.17630227454828193,0.12330865853148319,0.15173940213389453,full checkpoint eval,0.5625,0.5033333333333333,-0.01999999999999998,-0.030000000000000027
a_lossgrid_1p7b_combined_slide1_vocabfisher,vocab_fisher,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.15127362745117096,0.15765420951585968,0.14521986827960368,0.15138256841554476,full checkpoint eval,0.5625,0.47333333333333333,-0.04999999999999997,-0.1499999999999999
a_lossgrid_1p7b_combined_slide2_vocab,vocab_mse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,,0.11535748459507991,0.15611962751811673,0.15830307761487072,0.13876047268532934,0.15106105927277227,full checkpoint eval,0.5625,0.54,0.0166666666666667,-0.019999999999999907
a_lossgrid_1p7b_combined_slide1_cosine,cosine,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.13652622164032038,0.17220555044078706,0.14406072636533054,0.15093083281547934,full checkpoint eval,0.5625,0.48666666666666664,-0.036666666666666646,-0.040000000000000036
a_lossgrid_1p7b_combined_slide2_delta_cosine,delta_cosine,2,complete,12312,24,full checkpoint eval,0.10647927740088757,0.15719073278002751,0.20479415074390217,0.1561547203082724,0.14067517148087133,0.16647112180812695,0.14145465575649588,0.1495336496818314,full checkpoint eval,0.5625,0.43333333333333335,-0.08999999999999998,-0.27999999999999997
a_lossgrid_1p7b_combined_slide1_delta_cosine,delta_cosine,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.15359915052891546,0.151994850602931,0.14292323997067602,0.14950574703417416,full checkpoint eval,0.5625,0.51,-0.013333333333333308,-0.020000000000000018
a_lossgrid_1p7b_combined_slide1_jacobian_nmse,jacobian_nmse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.14904632335474893,0.15073467591914458,0.1479438151550138,0.14924160480963578,full checkpoint eval,0.5625,0.51,-0.013333333333333308,-0.03999999999999998
a_lossgrid_1p7b_combined_slide2_jacobian_cosine_anthropic,jacobian_cosine,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.15558461377010752,0.1447984792640693,0.1456625808682758,0.14868189130081755,full checkpoint eval,0.5625,0.5366666666666666,0.013333333333333327,0.0
a_lossgrid_1p7b_combined_slide2_embedding,embedding_mse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.14379398350763345,0.15667748863843545,0.1383965298294021,0.14628933399182367,full checkpoint eval,0.5625,0.5333333333333333,0.010000000000000028,-0.019999999999999907
a_lossgrid_1p7b_combined_slide2_jacobian_nmse_anthropic,jacobian_nmse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.15326650209831633,0.1442847618194891,0.13784965236161276,0.14513363875980606,full checkpoint eval,0.5625,0.5333333333333333,0.00999999999999999,-0.020000000000000018
a_lossgrid_1p7b_combined_slide1_delta_nmse,delta_nmse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.14335068046775284,0.13702778999600929,0.1534481049694249,0.144608858477729,full checkpoint eval,0.5625,0.5166666666666667,-0.006666666666666636,-0.019999999999999907
a_lossgrid_1p7b_combined_slide1_jacobian_cosine_anthropic,jacobian_cosine,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.14972304037931836,0.1487846139609737,0.12858335588167213,0.14236367007398806,full checkpoint eval,0.5625,0.49666666666666665,-0.026666666666666655,-0.08000000000000002
a_lossgrid_1p7b_combined_slide2_robust,state_delta_charbonnier,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.13335559358777094,0.16247623814053905,0.12893506234318297,0.14158896469049764,full checkpoint eval,0.5625,0.5266666666666666,0.003333333333333318,-0.020000000000000018
a_lossgrid_1p7b_combined_slide1_jacobian_cosine,jacobian_cosine,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.12970704357664375,0.17045600689131496,0.1218118269770325,0.14065829248166373,full checkpoint eval,0.5625,0.5033333333333333,-0.01999999999999998,-0.05999999999999994
a_lossgrid_1p7b_combined_slide1_jacobian_nmse_anthropic,jacobian_nmse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.13292024318134416,0.15572990629146274,0.12819712597073474,0.13894909181451387,full checkpoint eval,0.5625,0.5133333333333333,-0.009999999999999972,-0.04999999999999999
a_lossgrid_1p7b_combined_slide2_jacobian_vocab_mse_anthropic,jacobian_vocab_mse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.13679897831380042,0.15157691595182665,0.12231127090793684,0.1368957217245213,full checkpoint eval,0.5625,0.5366666666666666,0.013333333333333345,-0.029999999999999916
a_lossgrid_1p7b_combined_slide1_delta_vocab_cos,delta_vocab_cos,1,complete,12312,24,full checkpoint eval,0.10647927740088757,0.15719073278002751,0.20479415074390217,0.1561547203082724,0.15594519462783857,0.13554213812782592,0.11556311449746698,0.13568348241771047,full checkpoint eval,0.5625,0.5033333333333333,-0.01999999999999998,-0.04999999999999999
a_lossgrid_1p7b_combined_slide2_contrastive,contrastive,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.14672937194360836,0.13360074384609333,0.12563791392305593,0.1353226765709192,full checkpoint eval,0.5625,0.29333333333333333,-0.22999999999999998,-0.36999999999999994
a_lossgrid_1p7b_combined_slide2_jacobian_vocab_mse,jacobian_vocab_mse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.1357875152954732,0.1539179641722885,0.11569288397305987,0.13513278781360719,full checkpoint eval,0.5625,0.5333333333333333,0.010000000000000028,-0.02999999999999997
a_lossgrid_1p7b_combined_slide2_jacobian_nmse,jacobian_nmse,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.13861688678733836,0.1455216303037332,0.121010195610854,0.13504957090064185,full checkpoint eval,0.5625,0.5299999999999999,0.006666666666666654,-0.020000000000000018
a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse,jacobian_vocab_mse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.1316852767062771,0.1349146325182427,0.1285092541407682,0.131703054455096,full checkpoint eval,0.5625,0.49666666666666665,-0.026666666666666655,-0.07
a_lossgrid_1p7b_combined_slide1_l2mse,l2mse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.11327872555935412,0.14079882699760427,0.13185745173663868,0.12864500143119903,full checkpoint eval,0.5625,0.5166666666666667,-0.006666666666666654,-0.029999999999999916
a_lossgrid_1p7b_combined_slide1_vocab,vocab_mse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,,0.11535748459507991,0.12461142762094496,0.12919094108876192,0.12699738254424622,0.12693325041798437,full checkpoint eval,0.5625,0.5233333333333333,1.850371707708594e-17,-0.039999999999999925
a_lossgrid_1p7b_combined_slide1_jacobian_vocab_mse_anthropic,jacobian_vocab_mse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.11137921174926915,0.14822336494571395,0.1178365343154179,0.125813037003467,full checkpoint eval,0.5625,0.48666666666666664,-0.036666666666666646,-0.08999999999999997
a_lossgrid_1p7b_combined_slide2_jacobian_cosine,jacobian_cosine,2,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.1188190628656936,0.12977511509041184,0.11839505593658421,0.12232974463089656,full checkpoint eval,0.5625,0.5333333333333333,0.00999999999999999,-0.010000000000000009
a_lossgrid_1p7b_combined_slide1_component,component_nmse,1,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.12233238215082164,0.12881235608791927,0.10702383714447548,0.1193895251277388,full checkpoint eval,0.5625,0.5066666666666667,-0.016666666666666646,-0.07
a_lossgrid_1p7b_combined_slide4_multidelta,multi_delta_nmse,4,complete,12312,24,full checkpoint eval,0.08078483295644313,0.14993013623371668,0.16631980489620782,0.13234492469545586,0.13480918365062305,0.11688479973166616,0.08711406849449595,0.11293601729226171,full checkpoint eval,0.5625,0.5166666666666666,-0.006666666666666672,-0.010000000000000009
