source_line	algorithm_step_and_pseudocode_line
203	Algorithm A03 / step A03.04 / pseudocode line 73
204	Algorithm A03 / step A03.04 / pseudocode line 73
205	Algorithm A03 / step A03.04 / pseudocode line 73
206	Algorithm A03 / step A03.04 / pseudocode line 73
207	Algorithm A03 / step A03.04 / pseudocode line 73
208	Algorithm A03 / step A03.04 / pseudocode line 73
209	Algorithm A03 / step A03.04 / pseudocode line 73
210	Algorithm A03 / step A03.05 / pseudocode line 74
211	Algorithm A03 / step A03.05 / pseudocode line 74
212	Algorithm A03 / step A03.05 / pseudocode line 74
213	Algorithm A03 / step A03.05 / pseudocode line 74
214	Algorithm A03 / step A03.05 / pseudocode line 74
215	Algorithm A03 / step A03.05 / pseudocode line 74
216	Algorithm A03 / step A03.05 / pseudocode line 74
217	Algorithm A03 / step A03.05 / pseudocode line 74
218	Algorithm A03 / step A03.05 / pseudocode line 74
219	Algorithm A03 / step A03.05 / pseudocode line 74
220	Algorithm A03 / step A03.05 / pseudocode line 74
221	Algorithm A03 / step A03.05 / pseudocode line 74
222	Algorithm A03 / step A03.05 / pseudocode line 74
223	Algorithm A03 / step A03.06 / pseudocode line 75
224	Algorithm A03 / step A03.06 / pseudocode line 75
225	Algorithm A03 / step A03.06 / pseudocode line 75
226	Algorithm A03 / step A03.06 / pseudocode line 75
227	Algorithm A03 / step A03.06 / pseudocode line 75
228	Algorithm A03 / step A03.06 / pseudocode line 75
229	Algorithm A03 / step A03.06 / pseudocode line 75
230	Algorithm A03 / step A03.06 / pseudocode line 75
231	Algorithm A03 / step A03.06 / pseudocode line 75
232	Algorithm A03 / step A03.06 / pseudocode line 75
233	Algorithm A03 / step A03.06 / pseudocode line 75
234	Algorithm A03 / step A03.07 / pseudocode line 76
235	Algorithm A03 / step A03.07 / pseudocode line 76
236	Algorithm A03 / step A03.07 / pseudocode line 76
237	Algorithm A03 / step A03.07 / pseudocode line 76
238	Algorithm A03 / step A03.07 / pseudocode line 76
239	Algorithm A03 / step A03.08 / pseudocode line 77
240	Algorithm A03 / step A03.08 / pseudocode line 77
241	Algorithm A03 / step A03.08 / pseudocode line 77
242	Algorithm A03 / step A03.08 / pseudocode line 77
243	Algorithm A03 / step A03.08 / pseudocode line 77
244	Algorithm A03 / step A03.08 / pseudocode line 77
245	Algorithm A03 / step A03.08 / pseudocode line 77
246	Algorithm A03 / step A03.08 / pseudocode line 77
247	Algorithm A03 / step A03.08 / pseudocode line 77
248	Algorithm A03 / step A03.08 / pseudocode line 77
249	Algorithm A03 / step A03.08 / pseudocode line 77
250	Algorithm A03 / step A03.08 / pseudocode line 77
251	Algorithm A03 / step A03.08 / pseudocode line 77
252	Algorithm A03 / step A03.08 / pseudocode line 77
253	Algorithm A03 / step A03.08 / pseudocode line 77
254	Algorithm A03 / step A03.08 / pseudocode line 77
255	Algorithm A03 / step A03.08 / pseudocode line 77
256	Algorithm A03 / step A03.08 / pseudocode line 77
257	Algorithm A03 / step A03.09 / pseudocode line 78
